ID;Название;Кол-во просмотров;Настроение;ТОП10 Слов
1;Averting the climate crisis;2963003;Funny Informative Inspiring;выброс автомобиль газ республиканец климат ресторан шоу презентация гора совет
2;Simple designs to save a life;1152118;Inspiring Ingenious Informative;уголь брикет гаити топливо приготовление пища дерево рабочий навоз здоровье
3;How to rebuild a broken state;703842;Informative Courageous Inspiring;капитал государство предпосылка афганистан функция единодушие экономика афганец участие степень
4;The real future of space exploration;1744335;Inspiring Informative Fascinating;полет самолет космос луна течение цикл орбита военный период скорость
5;Great cars are great art;779625;Inspiring Longwinded Informative;автомобиль команда инженер любовь дизайнер красота америка открытка тип внедорожник
6;Sampling the ocean's DNA;485668;Informative Fascinating Jaw-dropping;ген организм геном днк производство среда вирус хромосома семейство микроб
7;Simplicity sells;1522659;Funny Informative Inspiring;функция простота нажатие список версия код пользователь экран смысл письмо
8;A memorial at Ground Zero;344571;Longwinded Unconvincing Informative;площадка йорк архитектор турист мемориал строительство разрушение застройщик центр сентябрь
9;To invent is to give;631071;Ingenious Inspiring Informative;транспорт автомобиль изобретение пешеход двигатель течение скорость тротуар ватт лошадь
10;The killer American diet that's sweeping the planet;1902602;Informative Persuasive Inspiring;заболевание опухоль рост спид диабет питание ожирение рак вич азия
11;What separates us from chimpanzees?;1485063;Inspiring Beautiful Fascinating;шимпанзе лес надежда побег корень существо дерево орудие труд насилие
12;Meet the future of cancer research;879255;Inspiring Fascinating Ingenious;рак мышца ткань опухоль метастаз сосуд новообразование медицина статья ангиогенез
13;A master architect asks, Now what?;812895;Longwinded Inspiring OK;бильбао архитектор заказчик ричард архитектура фрэнк рядом порт счастие мистер
14;Software (as) art;516555;Beautiful Longwinded OK;попытка выступление публикация разработчик мышление стандарт уитни челси рот сцена
16;Why we love, why we cheat;7934316;Informative Fascinating Persuasive;любовь формация привязанность брак труд дофамин секс влечение партнер мозги
18;Biomimicry's surprising lessons from nature's engineers;1543927;Inspiring Fascinating Informative;принцип среда организм элемент раковина живой труба разработка ракушка поверхность
19;How technology evolves;1129794;Persuasive Fascinating Inspiring;эволюция организм живой существо царство отличие разнообразие тенденция действительность смысл
20;Choice, happiness and spaghetti sauce;5905130;Fascinating Informative Funny;соус говард горчица кофе спагетти пепси кусочек рагу понятие сорт
21;Meet the founder of the blog revolution;437575;Longwinded Funny OK;блог фото блогер банджо муж пост норман роквелл запись эмма
22;Why people believe weird things;4447768;Funny Persuasive Informative;теория мария дева чудо скептик штука световой расстояние марихуана край
23;Fight injustice with raw video;678986;Inspiring Courageous Informative;камера пытка солдат эвелин дерево уганда тур текст поддержка кампания
25;The birth of the open-source learning revolution;916973;Informative Inspiring Persuasive;ока контент страница автор знание учебник издательство мечта сообщество область
26;If I controlled the Internet;1446813;Funny Beautiful Ingenious;император мертвый печение мальчишка сообщение сад мейл интерфейс член поцелуй
27;Organic design, inspired by nature;881471;Inspiring Beautiful Fascinating;автомобиль студия стул полимер мебель архитектура мечта товар отверстие джеймс
28;How to get your ideas to spread;4481755;Inspiring Informative Persuasive;реклама отака хлеб корова молоко горчица распространение альбом журнал центр
29;The freakonomics of crack dealing;2231949;Informative Funny Fascinating;банда судир крэк кокаин бандит район макдоналдс чикаго наркотик главарь
30;Surprising stats about child carseats;617193;Informative Persuasive Courageous;кресло авария ремень сидение безопасность лекарство тест пилюля повреждение столбец
31;How architecture can connect us;501277;Inspiring Confusing Longwinded;понятие архитектура кожа лос-анджелес поверхность суд помещение ховард смысл понимание
32;Art with wire, sugar, chocolate and string;931979;Funny Ingenious Fascinating;картина облако рисунок реклама творение творчество актер метр генерал водопроводчик
33;Let's rethink America's military strategy;951542;Persuasive Informative Funny;администрация левиафан безопасность поле военный министерство стратегия армия противник пентагон
34;Photos of endangered cultures;607562;Inspiring Beautiful Informative;далай лама племя тибет шаман тюрьма амазония опыт гуарани портрет
35;How we discovered DNA;1130192;Informative Funny Fascinating;днк ген полинг химик фрэнсис кембридж молекула лайнус университет вилкинс
36;The hidden world of shadow cities;525210;Informative Fascinating Inspiring;трущоба армстронг сообщество мусор крыша район турция община куча кибера
37;The birth of Wikipedia;931438;Informative Inspiring Fascinating;википедия статья страница сообщество энциклопедия сайт правило голосование доброволец тема
38;The accelerating power of technology;2050617;Informative Fascinating Inspiring;рост эволюция производительность транзистор стоимость мощность способность цена техника мура
39;A roadmap to end aging;2900383;Persuasive Fascinating Informative;старение повреждение этап срок подход метод метаболизм патология омоложение мышь
40;The story of life in photographs;1254569;Beautiful Jaw-dropping Inspiring;путешествие растение птица кислород строматолит организм млекопитающее водоросль огонь австралия
41;One Laptop per Child;281500;Inspiring Informative Ingenious;ноутбук дисплей цена штат стоимость образец профессор млн согласный маркетинг
42;Is this our final century?;1862741;Fascinating Informative Inspiring;звезда вселенная галактика взрыв атом эйнштейн солнце предел теория течение
43;Design is in the details;644887;Inspiring Informative Ingenious;секунда медсестра ситуация взгляд дизайнер зрение насос прибор мебель состояние
44;A philosophical quest for our biggest problems;660150;Unconvincing Longwinded Informative;смерть вероятность риск способность состояние проявление потенциал улучшение цифра условие
45;An 11-year-old's magical violin;2355029;Jaw-dropping Beautiful Inspiring;скрипка развлечение струна мистер волна хейфец коробка хеифец сирена штука
46;Improvising on piano, aged 14;1515757;Jaw-dropping Beautiful Inspiring;тема произведение персонаж абегга нота вариация стиль композитор мелодия композиция
47;Chemical scum that dream of distant quasars;935557;Persuasive Fascinating Informative;вселенная знание звезда галактика физика среда джет доказательство центр цивилизация
48;Everyday inventions;391105;Informative Confusing Ingenious;вселенная последовательность смысл вычисление линза веревка состояние цепь условие очки
49;Behind the design of Seattle's library;798227;Ingenious Inspiring Fascinating;библиотека театр концепция род центр сцена диаграмма элемент площадка музей
50;Happiness by design;1548128;Inspiring Funny Beautiful;надпись счастие список гонконг постер дизайнер комната метро щит раздел
51;Winning the oil endgame;730097;Informative Persuasive Inspiring;нефть автомобиль топливо производство вес использование половина импорт баррель потребление
53;Greening the ghetto;1317215;Inspiring Courageous Persuasive;район бронкс житель парк предприятие крыша справедливость дорога собака планирование
54;My wish: A call for open-source architecture;1079365;Inspiring Ingenious Informative;дизайнер центр община сообщество клиника команда спид архитектура строительство ноутбук
55;My wish: A global day of film;345056;Inspiring Courageous Beautiful;аль-джазира голос граница желание кадр донна дочь джордж ирак военный
